CAT CODE;RUS;KAZ;LEVEL;
Furniture fillers;Мебельные наполнители;Жи_аз ішін толтыр_ыштар;3;
Bean bag fillers;Наполнители для кресел-мешков;_ап-кресло толтыр_ыштары;3;
Bases for beds and slats;Основания для матрасов и ламели;Матрастарды_ табаны мен ламельдер;3;
Transformable bases;Трансформируемые основания электронные и механические;Трансформацияланатын негіздер;3;
Furniture fittings;Фурнитура для мебели;Жи_аз фурнитурасы;3;
Women fashion slippers;Женская домашняя обувь;_йелдерді_ _йге киетін ая_ киімі;3;
Women athletic shoes;Женская спортивная обувь;_йелдерді_ спорт_а арнал_ан ая_ киімі;3;
Women dance shoes;Женская танцевальная обувь;_йелдерді_ биге киетін ая_ киімі;3;
Women hiking shoes;Женская треккинговая обувь;_йелдерді_ трекинг ая_ киімі;3;
Women ballet pumps;Женские балетки;_йелдерді_ балеткалары;3;
Women ankle boots;Женские ботильоны;_йелдерді_ ботильондары;3;
Women boots;Женские ботинки и полуботинки;_йелдерді_ б_ті_келері мен _ыс_а _онышты б_ті_келері;3;
Women trainers;Женские кроссовки и кеды;_йелдерді_ кроссовкалары мен кедысы;3;
Women moccasins;Женские мокасины и топсайдеры;_йелдерді_ мокасин, топсайдерлері;3;
Women mules;Женские мюли и сабо;_йелдерді_ мюли, сабосы;3;
Women sandals;Женские сандалии и босоножки;_йелдерді_ сандал, ашы_ туфлилері;3;
Women knee boots;Женские сапоги;_йелерді_ етігі;3;
Women slip-ons;Женские слипоны и эспадрильи;_йелдерді_ слипон, эспадрильялары;3;
Women dress shoes;Женские туфли;_йелдерді_ туфлиі;3;
Women flip flops;Женские шлепанцы;_йелдерді_ с_йретпелері;3;
Women safety shoes;Спецобувь для женщин;_йелдерді_ арнайы ая_ киімі;3;
Men fashion slippers;Мужская домашняя обувь;Ерлерді_ _йге киетін ая_ киімі;3;
Men athletic shoes;Мужская спортивная обувь;Ерлерді_ спорт_а арнал_ан ая_ киімі;3;
Men dance shoes;Мужская танцевальная обувь;Ерлерді_ биге арнал_ан ая_ киімі;3;
Men hiking shoes;Мужская треккинговая обувь;Ерлерді_ трекинг ая_ киімі;3;
Men boots;Мужские ботинки;Ерлерді_ б_ті_кесі;3;
Men trainers;Мужские кроссовки и кеды;Ерлерді_ кроссовкалары мен кедысы;3;
Men moccasins;Мужские мокасины и топсайдеры;Ерлерді_ мокасин, топсайдерлері;3;
Men sandals;Мужские сандалии;Ерлерді_ ашы_ ш_ркейлері;3;
Men knee boots;Мужские сапоги;Ерлерді_ етіктері;3;
Men slip-ons;Мужские слипоны и эспадрильи;Ерлерді_ слипон, эспадрильялары;3;
Men dress shoes;Мужские туфли;Ерлерді_ туфлиі;3;
Men flip flops;Мужские шлепанцы;Ерлерді_ с_йретпелері;3;
Men safety shoes;Спецобувь для мужчин;Ерлерді_ арнайы ая_ киімі;3;
Girl ballet pumps;Балетки для девочек;_ыздарды_ балеткалары;3;
Girl heeled sandals;Босоножки для девочек;_ыздарды_ ашы_ ая_ киімі;3;
Girl boots;Ботинки для девочек;_ыздарды_ б_ті_кесі;3;
Girl fashion slippers;Домашняя обувь для девочек;_ыздарды_ _йге киетін ая_ киімі;3;
Girl trainers;Кроссовки и кеды для девочек;_ыздарды_ кроссовкалары мен кедылары;3;
